error	AC147602.5_FG004
error	AC148152.3_FG001
error	AC148152.3_FG005
error	AC148152.3_FG006
error	AC148152.3_FG008
AC148167.6_FG001	Sb02g004800	Si029611m.g	LOC_Os07g08790	Bradi1g55170	none
AC149475.2_FG002	Sb01g046980	Si037007m.g	LOC_Os03g05520	Bradi1g75100	none
AC149475.2_FG003	Sb01g046910	none	none	none	none
AC149475.2_FG005	Sb01g046870	Si033886m.g	LOC_Os03g05680	Bradi1g74997	none
AC149475.2_FG007	Sb01g046860	Si035945m.g	LOC_Os03g05710	Bradi1g74950	none
AC149810.2_FG003	Sb01g046140	Si033898m.g	none	Bradi1g74000	none
AC149810.2_FG004	Sb01g046150	Si037515m.g	none	Bradi1g74030	none
AC149810.2_FG008	Sb01g048300	Si036097m.g	LOC_Os03g03890	Bradi1g76350	none
AC149818.2_FG001	Sb01g047150	Si037497m.g	LOC_Os03g05280	Bradi1g75340	none
AC149818.2_FG004	Sb01g047130	Si038247m.g	LOC_Os03g05300	Bradi1g75280	none
AC149818.2_FG005	Sb01g047050	Si037618m.g	LOC_Os03g05450	Bradi1g75180	none
AC149818.2_FG006	Sb01g047040	Si037298m.g	none	Bradi1g75170	none
AC149818.2_FG007	Sb01g047030	Si035713m.g	LOC_Os03g05460	Bradi1g75160	none
AC149818.2_FG008	Sb01g047010	Si034911m.g	LOC_Os03g05480	Bradi1g75127	none
AC149818.2_FG009	Sb01g046990	Si040019m.g	LOC_Os03g05510	Bradi1g75110	none
AC149828.2_FG002	Sb01g045210	Si037199m.g	LOC_Os03g08280	Bradi1g72640	none
AC149828.2_FG004	Sb01g045230	Si038030m.g	LOC_Os03g08250	Bradi1g72660	none
AC149828.2_FG005	none	none	none	none	none
AC149829.2_FG002	Sb01g045660	Si038280m.g	LOC_Os03g07590	Bradi1g73100	none
AC149829.2_FG003	Sb01g045670	Si034064m.g	LOC_Os03g07580	Bradi1g73110	none
AC149829.2_FG004	Sb01g045690	Si038282m.g	LOC_Os03g07540	Bradi1g73140	none
AC149829.2_FG006	Sb01g045700	Si035825m.g	LOC_Os03g07530	Bradi1g73150	none
AC150739.3_FG001	Sb01g050300	Si039060m.g	LOC_Os03g01540	Bradi1g78200	none
error	AC152495.1_FG002
error	AC152495.1_FG003
error	AC152495.1_FG010
AC152495.1_FG011	none	none	none	none	none
AC152495.1_FG012	none	none	none	none	none
AC152495.1_FG013	none	none	none	none	none
AC152495.1_FG015	Sb08g002410	none	none	none	none
AC152495.1_FG017	Sb08g002410	none	none	none	none
AC155352.2_FG001	none	none	none	none	none
AC155352.2_FG010	none	none	none	none	none
AC155376.2_FG002	none	none	none	none	none
AC155376.2_FG004	Sb03g042700	Si000217m.g	LOC_Os01g67240	Bradi2g57650	none
AC155376.2_FG005	Sb03g042690	Si001247m.g	LOC_Os01g67220	Bradi2g57640	none
AC155377.1_FG001	Sb03g026110	Si000030m.g	LOC_Os01g40200	Bradi2g41977	myosin-like protein
AC155377.1_FG002	Sb03g026140	none	none	none	none
AC155390.2_FG002	none	Si039943m.g	LOC_Os03g13830	Bradi1g68480	none
AC155434.2_FG001	Sb02g043340	Si029811m.g	LOC_Os07g48610	Bradi1g17380	none
AC155434.2_FG003	none	none	none	none	none
AC155434.2_FG004	Sb02g043330	Si028651m.g	LOC_Os07g48602	Bradi1g17387	none
AC155434.2_FG005	Sb02g043320	Si030350m.g	LOC_Os07g48596	Bradi1g17400	none
AC155434.2_FG006	Sb02g043310	Si029673m.g	LOC_Os07g48570	Bradi1g17410	none
AC155496.2_FG009	Sb01g005920	Si034265m.g	LOC_Os03g57290	Bradi1g06387	none
AC155610.2_FG007	Sb03g040950	none	none	none	none
AC155610.2_FG009	Sb03g040930	Si003474m.g	LOC_Os01g64690	Bradi2g56060	none
AC155622.2_FG001	Sb03g002780	Si000177m.g	none	none	none
AC155622.2_FG004	Sb03g002780	none	none	none	none
AC155624.2_FG006	Sb01g047830	Si036005m.g	LOC_Os03g04430	Bradi1g75940	none
AC155624.2_FG011	Sb01g047820	Si036942m.g	LOC_Os03g04440	Bradi1g75930	none
AC159612.1_FG007	Sb01g005610	Si035361m.g	LOC_Os03g57880	Bradi1g06050	none
AC165171.2_FG002	Sb03g047350	Si005025m.g	LOC_Os01g74140	Bradi2g62130	none
AC165178.2_FG004	Sb02g024640	none	LOC_Os09g24800	Bradi4g30220	none
AC166636.1_FG007	Sb01g044450	Si037398m.g	LOC_Os03g09120	Bradi1g71790	none
AC166636.1_FG008	Sb01g044440	Si037471m.g	LOC_Os03g09140	Bradi1g71780	none
AC166636.1_FG009	Sb01g044430	Si034580m.g	LOC_Os03g09150	Bradi1g71760	none
AC177831.3_FG004	none	none	none	none	none
AC177833.2_FG001	none	none	none	none	none
AC177837.3_FG002	none	none	none	none	none
error	AC177838.2_FG015
AC177844.2_FG003	none	none	none	none	none
AC177850.2_FG003	none	none	none	none	none
AC177850.2_FG005	Sb01g044760	none	none	none	none
AC177860.4_FG002	none	none	none	none	none
AC177890.3_FG005	none	none	none	none	none
AC177893.3_FG003	none	none	none	none	none
AC177893.3_FG006	none	none	none	none	none
AC177897.2_FG002	Sb01g013190	Si036461m.g	LOC_Os03g44810	Bradi1g13500	none
AC177897.2_FG022	none	none	none	none	none
AC177897.2_FG029	none	none	none	none	none
AC177899.2_FG009	Sb01g000260	Si040278m.g	LOC_Os03g64370	none	none
AC177899.2_FG012	none	none	none	none	none
AC177900.4_FG001	none	none	none	none	none
AC177905.2_FG001	none	none	none	none	none
AC177905.2_FG003	none	none	none	none	none
AC177908.3_FG002	Sb01g032570	Si035034m.g	LOC_Os03g30000	none	none
AC177908.3_FG003	none	none	none	none	none
AC177908.3_FG006	none	none	none	none	none
AC177911.4_FG005	none	none	none	none	none
AC177920.3_FG008	none	none	none	none	none
error	AC177922.2_FG002
AC177924.2_FG001	none	none	none	none	none
AC177924.2_FG003	none	Si012883m.g	LOC_Os04g31760	none	none
AC177926.2_FG003	none	Si038929m.g	none	none	none
AC177930.2_FG001	none	none	none	none	none
AC177930.2_FG002	none	none	none	none	none
AC177936.6_FG008	Sb01g005920	Si034265m.g	LOC_Os03g57290	Bradi1g06387	none
AC177941.3_FG001	none	none	none	none	none
AC177941.3_FG006	none	none	none	none	none
AC177946.2_FG004	none	none	LOC_Os03g08940	none	none
AC177947.2_FG003	none	none	none	none	none
error	AC182105.3_FG006
AC182413.4_FG002	none	none	none	none	none
AC182439.4_FG004	none	none	none	none	none
AC182482.3_FG003	Sb03g007250	Si001795m.g	LOC_Os01g03914	Bradi2g02050	none
AC182615.4_FG001	none	none	none	none	none
AC182617.3_FG001	Sb08g018570	Si022462m.g	LOC_Os12g37960	Bradi4g04040	none
AC182627.2_FG003	none	none	none	none	none
AC182831.3_FG004	none	none	none	none	none
AC182838.3_FG006	none	none	none	none	none
AC183315.4_FG006	Sb03g008200	Si002996m.g	LOC_Os01g02200	Bradi2g01100	none
AC183319.3_FG001	none	Si005335m.g	none	none	none
AC183372.4_FG006	none	none	none	none	none
AC183412.5_FG005	Sb06g023125	Si009637m.g	LOC_Os04g44430	none	none
AC183413.3_FG006	none	none	none	none	none
AC183509.1_FG001	none	none	none	none	none
AC183514.3_FG006	none	none	none	none	none
AC183817.2_FG002	none	none	none	none	none
AC183888.4_FG006	none	none	none	none	none
AC183888.4_FG008	Sb04g001010	none	LOC_Os02g02290	Bradi3g01297	none
AC183914.3_FG004	none	none	none	none	none
AC183915.4_FG001	none	none	none	none	none
AC183927.3_FG004	none	none	none	none	none
AC183928.4_FG001	none	none	none	none	none
AC183932.3_FG007	Sb01g006820	Si034503m.g	LOC_Os03g56060	Bradi1g07277	none
AC183938.4_FG011	none	none	none	none	none
AC183944.4_FG003	none	none	none	none	none
AC183950.2_FG002	none	none	none	none	none
AC183950.2_FG003	Sb03g043350	Si004270m.g	none	none	none
AC183950.2_FG004	Sb03g043330	Si000640m.g	LOC_Os01g68090	Bradi2g58240	none
AC183950.2_FG005	Sb03g043320	Si001224m.g	LOC_Os01g68070	Bradi2g58210	none
error	AC183968.2_FG001
AC184112.4_FG010	Sb03g044900	Si005085m.g	LOC_Os01g70600	Bradi2g59750	none
AC184116.3_FG001	none	none	none	none	none
AC184127.3_FG003	none	none	none	none	none
AC184130.4_FG005	Sb04g005190	Si020118m.g	none	Bradi3g05730	none
AC184130.4_FG012	Sb04g005660	none	none	none	none
error	AC184133.3_FG001
AC184164.2_FG004	none	none	none	none	none
AC184164.2_FG006	none	none	none	none	none
AC184169.3_FG001	Sb07g005960	Si013226m.g	none	none	none
AC184170.4_FG002	none	none	none	none	none
AC184171.4_FG002	none	none	none	none	none
AC184172.3_FG001	none	none	none	none	none
AC184699.3_FG005	Sb03g026020	Si000944m.g	LOC_Os01g39960	Bradi2g41890	none
AC184764.3_FG003	none	none	none	none	none
AC184764.3_FG006	none	none	none	none	none
AC184765.4_FG005	none	none	none	none	none
AC184771.4_FG003	none	none	none	none	none
AC184775.2_FG002	none	none	none	none	none
AC184788.2_FG001	none	none	none	none	none
AC184789.4_FG002	none	none	none	none	none
error	AC184794.2_FG003
AC184831.3_FG003	none	none	none	none	none
AC184831.3_FG005	Sb04g002090	none	none	none	none
AC184831.3_FG008	Sb04g002090	none	none	none	none
AC184836.3_FG002	none	none	none	none	none
AC184857.2_FG006	none	none	none	none	none
AC184871.2_FG009	none	none	none	none	none
AC185108.3_FG006	none	none	none	none	none
AC185108.3_FG010	Sb02g038060	Si033107m.g	LOC_Os07g40040	Bradi1g22900	none
AC185108.3_FG011	Sb02g038070	Si032711m.g	LOC_Os07g40080	Bradi1g22940	none
AC185122.3_FG009	none	none	none	none	none
AC185126.3_FG006	Sb05g002970	none	none	none	none
AC185130.2_FG004	none	none	none	none	none
AC185130.2_FG005	none	none	none	none	none
AC185217.3_FG004	none	none	none	none	none
AC185217.3_FG007	none	none	none	none	none
AC185226.4_FG001	Sb04g029850	Si016098m.g	LOC_Os02g48620	Bradi3g53420	? membrane permease
error	AC185252.4_FG002
AC185254.4_FG002	Sb07g019540	Si013214m.g	LOC_Os08g30770	Bradi3g35390	none
AC185256.3_FG002	none	none	none	none	none
AC185256.3_FG003	none	none	none	none	none
AC185261.4_FG002	none	none	none	none	none
